STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
55,001,950100,2973,+44.204591,-089.794521
55,001,950201,1379,+44.002663,-089.871206
55,001,950202,2674,+44.085508,-089.812851
55,001,950400,4767,+43.957111,-089.799668
55,001,950501,1469,+43.898427,-089.907775
55,001,950502,4112,+43.836332,-089.719305
55,001,950700,3501,+43.721645,-089.711395
55,003,940000,1867,+46.542445,-090.682170
55,003,950300,2696,+46.581226,-090.882584
55,003,950400,2410,+46.579521,-090.898565
55,003,950500,2201,+46.448232,-090.843027
55,003,950600,1391,+46.300193,-090.655994
55,003,950700,2206,+46.071691,-090.532492
55,003,950800,3386,+46.608755,-090.857826
55,003,990000,0,+47.129128,-090.184655
55,005,000100,3829,+45.591106,-091.760775
55,005,000200,3933,+45.549028,-092.044701
55,005,000300,4215,+45.431974,-092.053217
55,005,000400,5465,+45.425097,-091.846456
55,005,000500,4242,+45.501231,-091.747993
55,005,000600,6182,+45.495048,-091.724756
55,005,000800,5435,+45.437949,-091.708134
55,005,000900,5123,+45.291566,-091.952168
55,005,001001,1874,+45.297879,-091.715930
55,005,001002,5572,+45.326848,-091.646675
55,007,960100,2713,+46.843971,-090.847872
55,007,960200,1679,+46.696471,-091.391042
55,007,960300,3661,+46.670109,-090.922044
55,007,960400,4926,+46.490666,-091.192824
55,007,960600,2035,+46.250147,-091.303705
55,007,990000,0,+46.967866,-091.195009
55,009,000100,2690,+44.525870,-088.021439
55,009,000200,5963,+44.532630,-088.036763
55,009,000302,4553,+44.520772,-088.073756
55,009,000303,2811,+44.534627,-088.065470
55,009,000401,4632,+44.526607,-088.051653
55,009,000402,2343,+44.512910,-088.063743
55,009,000500,2953,+44.519873,-088.033065
55,009,000600,4097,+44.508791,-088.052588
55,009,000700,4945,+44.508149,-088.040266
55,009,000800,1835,+44.511877,-088.026582
55,009,000900,4029,+44.518737,-087.991091
55,009,001000,1538,+44.511376,-088.014147
55,009,001100,2081,+44.511129,-087.990432
55,009,001200,2323,+44.509661,-088.002983
55,009,001300,3022,+44.502962,-088.010182
55,009,001400,3804,+44.498664,-087.999595
55,009,001600,6505,+44.490288,-087.982671
55,009,001701,3528,+44.516118,-087.971189
55,009,001702,3529,+44.511794,-087.959860
55,009,001801,4971,+44.515392,-087.925130
55,009,001802,5449,+44.540313,-087.912408
55,009,002001,8222,+44.497640,-087.961049
55,009,002002,5157,+44.480031,-087.956818
55,009,002003,3278,+44.491639,-087.923044
55,009,010100,6254,+44.447983,-088.040352
55,009,010201,4581,+44.441231,-088.075397
55,009,010202,5002,+44.438383,-088.088613
55,009,010300,6892,+44.433452,-088.053305
55,009,020100,5645,+44.565520,-087.825563
55,009,020203,6367,+44.630117,-088.048508
55,009,020204,4979,+44.624198,-088.104716
55,009,020502,5306,+44.550329,-088.065835
55,009,020503,7705,+44.572738,-088.089651
55,009,020504,4388,+44.572029,-088.114938
55,009,020600,5172,+44.383166,-087.827331
55,009,020702,5884,+44.419523,-087.989002
55,009,020703,6963,+44.458638,-087.936021
55,009,020704,7710,+44.468858,-087.985432
55,009,020800,2230,+44.490607,-088.012475
55,009,020900,2771,+44.478018,-088.019166
55,009,021000,2731,+44.466787,-088.036155
55,009,021100,1092,+44.470363,-088.036685
55,009,021200,5151,+44.459750,-088.025428
55,009,021301,3305,+44.499134,-088.072399
55,009,021302,6183,+44.495375,-088.093411
55,009,021303,3955,+44.486673,-088.063748
55,009,021304,2117,+44.478040,-088.090520
55,009,021400,7038,+44.344465,-088.111660
55,009,021500,3118,+44.273750,-088.043296
55,009,021600,5929,+44.650112,-088.204999
55,009,940001,14585,+44.464753,-088.134311
55,009,940002,4729,+44.518772,-088.121540
55,009,940003,3298,+44.517428,-088.104785
55,009,940004,2669,+44.515857,-088.091123
55,011,960100,2726,+44.500526,-091.676196
